time,year,lat,long,commodity,volume,state,release type,water,cost,cause
2010-04-27 14:00:00,2010,29.7169,-95.2364,REFINED LIQUIDS,0,TX,LEAK,NO,98339.99389312984,MATERIAL FAILURE OF PIPE OR WELD
2010-04-16 08:14:00,2010,36.5746,-90.1886,REFINED LIQUIDS,0,MO,OTHER,NO,6288.688410825808,EQUIPMENT FAILURE
2010-04-12 16:36:00,2010,35.76698,-84.36458,REFINED LIQUIDS,168,TN,LEAK,NO,39013.765163081196,EQUIPMENT FAILURE
2010-04-13 12:01:00,2010,39.02601,-85.85146,REFINED LIQUIDS,0,IN,OTHER,NO,44308.84080499663,INCORRECT OPERATION
2010-01-18 10:00:00,2010,38.32113,-87.34782,FLAMMABLE GASES,84,IN,LEAK,NO,1383.5114503816792,EQUIPMENT FAILURE
2010-01-24 12:30:00,2010,38.32113,-87.34782,FLAMMABLE GASES,42,IN,LEAK,NO,2641.2491325468545,EQUIPMENT FAILURE
2010-04-30 07:00:00,2010,29.91232,-94.01006,REFINED LIQUIDS,42,TX,OTHER,NO,2263.927827897294,INCORRECT OPERATION
2010-04-26 09:15:00,2010,38.881879999999995,-94.74432,REFINED LIQUIDS,42,KS,LEAK,NO,16488.941013185286,EQUIPMENT FAILURE
2010-04-10 18:40:00,2010,35.86572,-97.62111,CRUDE OIL,0,OK,LEAK,YES,211179.1877862597,MATERIAL FAILURE OF PIPE OR WELD
2010-04-14 11:30:00,2010,32.47413,-94.7185,CRUDE OIL,0,TX,LEAK,NO,6396.853851492019,CORROSION FAILURE
2010-04-13 12:25:00,2010,29.90083,-94.00556,REFINED LIQUIDS,0,TX,LEAK,NO,129507.9913948648,EQUIPMENT FAILURE
2010-04-25 09:00:00,2010,41.80708,-83.60070999999999,CRUDE OIL,3822,MI,MECHANICAL PUNCTURE,YES,1388500.8957668296,EQUIPMENT FAILURE
2010-04-24 19:30:00,2010,30.70863,-91.27566,REFINED LIQUIDS,546,LA,OTHER,NO,59470.86856349751,OTHER OUTSIDE FORCE DAMAGE
